property_id,last_sold_date,listing_date,list_price,last_price_change_amount,sqft_price,hoa,status,city,zipcode,median_nieghborhood_price,baths_consolidated,beds,garage,lot_sqft,pool,sqft,stories,type,public_elem_parent_rating,public_elem_rating,private_elem_parent_rating,private_elem_rating,public_mid_parent_rating,public_mid_rating,private_mid_parent_rating,private_mid_rating,public_high_parent_rating,public_high_rating,private_high_parent_rating,private_high_rating,nearest_school,noise_score,airport_noise,traffic_noise,local_noise,overall_noise,is_foreclosure,is_new_construction,is_pending,is_senior_community,is_new_listing
601-Van-Ness-Ave-Apt-125_San-Francisco_CA_94102_M20674-38846,1992-01-24,2024-04-03T03:25:27Z,649000,,603,1239,for_sale,San Francisco,94102,787000.0,2,2.0,0.0,105807.0,,1077.0,1.0,condo,4.25,3.821428571428571,4.0,4.0,3.6666666666666665,4.333333333333333,,,4.0,4.0,4.0,4.0,0.1,56.0,Low,High,High,High,False,False,False,False,False
1762-Scott-St_San-Jose_CA_95128_M14724-99997,2019-08-16,2024-04-09T20:55:31Z,1198000,,1032,0,for_sale,San Jose,95128,,2,3.0,2.0,6098.0,,1161.0,1.0,single_family,3.6666666666666665,4.333333333333333,3.0,3.0,4.0,4.666666666666667,3.0,3.0,3.6666666666666665,6.333333333333333,3.0,3.0,0.3,67.0,Medium,High,Medium,High,False,False,False,False,False
32529-Gina-Way_Union-City_CA_94587_M15996-51300,1999-03-10,2024-04-03T21:01:25Z,1278000,,968,0,for_sale,Union City,94587,,2,3.0,2.0,6000.0,,1320.0,1.0,single_family,4.171428571428572,6.457142857142857,5.0,5.0,3.7142857142857144,6.321428571428571,5.0,5.0,4.285714285714286,7.095238095238095,,,0.2,78.0,Low,Medium,Low,Medium,False,False,True,False,False
9770-Via-Cantera-Rd_Kenwood_CA_95452_M22170-85999,,2024-03-07T21:23:30Z,3695000,,1324,292,for_sale,Kenwood,95452,,3.5,3.0,2.0,217800.0,,2790.0,2.0,single_family,5.0,7.5,,,3.3333333333333335,2.6666666666666665,,,3.6666666666666665,6.333333333333333,,,0.8,100.0,N/A,N/A,N/A,N/A,False,False,True,False,False
263-Llano-De-Los-Robles-Ave-Unit-4_San-Jose_CA_95136_M99720-83135,2021-05-27,2024-03-15T01:38:03Z,938000,,747,631,for_sale,San Jose,95136,,2,3.0,2.0,,,1256.0,1.0,condo,4.0,5.0,5.0,5.0,4.0,5.75,,,4.0,5.333333333333333,,,0.8,80.0,Low,Medium,Low,Medium,False,False,False,False,False
1645-Scotty-St_San-Jose_CA_95122_M17587-65595,2018-09-05,2024-03-21T20:25:39Z,899000,-87000,775,0,for_sale,San Jose,95122,,1,3.0,1.0,5227.0,,1160.0,1.0,single_family,4.333333333333333,6.666666666666667,3.0,3.0,4.25,5.5,3.0,3.0,4.0,3.6666666666666665,3.0,3.0,0.2,70.0,Medium,High,Medium,Medium,False,False,False,False,False
320-Dominic-Ct_Windsor_CA_95492_M26944-38145,1995-01-13,2024-04-19T22:44:36Z,1325000,,500,0,for_sale,Windsor,95492,763950.0,3,4.0,3.0,10285.0,,2650.0,2.0,single_family,4.0,3.392857142857143,4.5,4.5,4.0,3.6666666666666665,4.5,4.5,4.0,3.6666666666666665,4.5,4.5,0.3,72.0,Low,High,Low,Medium,False,False,False,False,False
38000-Old-Coast-Hwy_Gualala_CA_95445_M27865-79028,2021-10-04,2024-04-21T00:37:11Z,1495000,,1574,0,for_sale,Gualala,95445,,1,2.0,1.0,24394.0,,950.0,1.0,single_family,2.5,5.0,,,2.5,5.0,,,3.0,5.0,,,12.2,100.0,N/A,N/A,N/A,N/A,False,False,False,False,True
Unite_Kindred-Balfour_1890-Morello-Drive_Brentwood_CA_94513_P417000627957,,2021-06-27T14:15:45Z,586990,,405,0,ready_to_build,Brentwood,94513,744021.0,2,2.0,2.0,,,1448.0,0.0,single_family,4.642857142857142,6.25,4.0,4.0,4.857142857142857,5.333333333333333,4.0,4.0,4.190476190476191,6.333333333333333,4.0,4.0,0.4,72.0,Low,High,Low,Medium,False,True,False,True,False
40-Firethorn-Way_Portola-Valley_CA_94028_M95841-28684,,2024-02-07T05:55:37Z,40000000,,3576,0,for_sale,Portola Valley,94028,,7.5+,7.0,4.0,291024.0,,11185.0,3.0,single_family,4.833333333333333,7.5555555555555545,4.25,4.25,4.75,7.666666666666666,4.5,4.5,4.166666666666667,7.111111111111111,5.0,5.0,0.6,77.0,Low,Medium,Low,Medium,False,True,False,False,False
2061-Peterson-Ln_Santa-Rosa_CA_95403_M29630-73803,2015-09-30,2024-04-15T07:08:30Z,695000,,424,0,for_sale,Santa Rosa,95403,729000.0,2,4.0,2.0,7876.0,,1640.0,1.0,single_family,3.3333333333333335,3.0,3.875,3.625,4.0,4.333333333333333,3.875,3.625,4.333333333333333,4.333333333333333,3.875,3.625,0.5,75.0,N/A,Medium,N/A,Medium,False,False,True,False,False
2013-Easton-Dr_Burlingame_CA_94010_M27557-70366,,2024-03-15T05:43:37Z,6680000,,1681,0,for_sale,Burlingame,94010,3375000.0,4.5,5.0,2.0,12197.0,,3975.0,2.0,single_family,4.25,6.7,4.75,4.75,3.6666666666666665,6.933333333333334,4.75,4.75,4.0,8.45,4.0,4.0,0.2,75.0,High,Medium,Medium,Medium,False,True,False,False,False
4187-Pine-Ridge-Dr_Santa-Rosa_CA_95409_M15397-78810,2011-07-22,2024-03-27T07:08:45Z,2595000,,589,0,for_sale,Santa Rosa,95409,,4.5,4.0,3.0,56628.0,,4409.0,2.0,single_family,4.333333333333333,6.333333333333333,4.0,4.0,3.3333333333333335,6.055555555555556,4.0,4.0,4.0,6.722222222222222,4.0,4.0,0.6,84.0,N/A,Low,N/A,Low,False,False,True,False,False
670-San-Antonio-Rd-Apt-6_Palo-Alto_CA_94306_M10627-14338,2016-09-22,2024-04-10T17:33:42Z,1649999,,1196,490,for_sale,Palo Alto,94306,1998944.0,2.5,3.0,2.0,1176.0,,1380.0,2.0,townhouse,4.279999999999999,7.44,5.0,5.0,4.1,7.55,5.0,5.0,4.133333333333334,8.066666666666666,,,0.1,68.0,Low,High,High,Medium,False,False,False,False,False
650-Turk-St-Unit-204_San-Francisco_CA_94102_M13835-23964,2020-01-08,2024-03-15T00:52:36Z,538000,-41000,837,804,for_sale,San Francisco,94102,637500.0,1,1.0,1.0,15581.0,,643.0,0.0,condo,4.3,3.25,4.0,4.0,4.066666666666666,2.3333333333333335,,,4.133333333333334,2.6666666666666665,4.0,4.0,0.0,57.0,Low,High,High,High,False,False,False,False,False
269-El-Bosque-Dr_San-Jose_CA_95134_M29644-88775,,2023-11-01T23:08:41Z,219900,-5000,286,0,for_sale,San Jose,95134,,2,2.0,0.0,,,768.0,0.0,mobile,3.1666666666666665,5.466666666666666,4.0,4.0,3.5,4.333333333333333,4.0,4.0,3.7,5.36,4.0,4.0,0.7,75.0,Medium,Medium,Low,Medium,False,False,False,False,False
118-Evergreen-Way_Vallejo_CA_94591_M21176-15068,,2024-03-08T21:05:24Z,650000,,320,0,for_sale,Vallejo,94591,,2.5,3.0,2.0,12197.0,,2030.0,2.0,single_family,4.333333333333333,4.666666666666667,4.0,4.0,4.0,4.0,4.0,4.0,2.8333333333333335,3.277777777777778,4.0,4.0,0.2,79.0,Low,Medium,Low,Medium,False,False,True,False,False
3743-Riesling-Ct_Pleasanton_CA_94566_M16475-41185,,2024-04-19T20:45:26Z,1649000,,711,0,for_sale,Pleasanton,94566,1454500.0,3,4.0,2.0,10380.0,,2320.0,2.0,single_family,3.722222222222222,7.222222222222222,4.5,4.5,2.722222222222222,6.555555555555556,4.0,4.0,3.0555555555555554,6.222222222222222,4.0,4.0,0.2,77.0,Low,Medium,Low,Medium,False,False,True,False,False
470-Rich-Spring-Dr_Pittsburg_CA_94565_M24711-48076,2024-03-15,2024-01-25T02:30:29Z,749900,,234,0,sold,Pittsburg,94565,,3,5.0,3.0,6359.0,,3201.0,2.0,single_family,2.7916666666666665,3.357142857142857,4.5,4.5,3.388888888888889,3.8095238095238098,4.5,4.5,3.444444444444444,3.142857142857143,4.25,4.25,0.7,78.0,Low,Medium,Low,Medium,False,False,False,False,False
